Career,skill1,skill2,skill3,skill4,skill5,skill6,skill7,skill8,skill9,skill10,skill11,skill12,skill13,skill14,skill15,skill16,skill17,skill18,skill19,skill20,skill21,skill22,skill23,skill24,skill25,skill26,skill27,skill28,skill29,skill30,skill31,skill32,skill33,skill34,skill35,skill36,skill37
Web Developer,Web Development, Mobile App Development, Artificial Intelligence (AI) and Machine Learning, Problem Solving and Analysis, Cybersecurity, Operating Systems and Networking, Database Development, Data Analysis andVisualization, API Testing, Performance Testing, Statistical Analysis, ROLLING NOISE FILTER, Broadcast Journalism, Computer Network,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Problem Solving and Analysis, Database Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Data Analysis and Visualization, Deeplearning, Data Engineering, ProblemSolving, Communication, CriticalThinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning Engineer,Deep Learning, Machine Learning, Statistics, Data Analysis and Visualization, deepelearning, Statistician, Data Analysis and Visualization, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Problem Solving and Analysis, Cybersecurity, Operating Systems and Networking, Database Development, Data Analysis and Visualization, System Design, Project Management, Cloud Computing, Communication, Critical Thinking, Interpersonal Skills, adaptability,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Data Analysis and Visualization, Critical Thinking, Interpersonal Skills, Feature Generation, Statistical Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Game Development, Cybersecurity, Web based project develop, Artificial Intelligence (AI) and Machine Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Web based project develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud Engineer,Cloud Computing, Communication, Big Data Technologies, Feature Engineering, Classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning Engineer,Machine Learning, Data Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Mobile App Development, Artificial Intelligence (AI), Database Development, Problem Solving and Analysis, Operating Systems and Networking, System Design, Software Quality Testing, API Testing, Performance Testing, Internet of Things, API Knowledge, Cloud Computing, Search Engine Optimization (SEO), UI/UX Knitters, Critical Thinking, Interpersonal Skills, Adaptability, Cybersecurity, Operating Systems and Networking, Big Data Technologies, Project Management, Web based project develop, Image Processing,,,,,,,,,,,,,
UX/UI Designer,Graphic Design, Video Editing & Animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Data Analysis and Visualization, Critical Thinking, Interpersonal Skills, Feature Engineering, Statistical Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Problem Solving and Analysis, Cybersecurity, Research on Cyber Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Statistical Analysis, Data Analysis and Visualization, Data Structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Blockchain, Artificial Intelligence (AI), Deep Learning, Machine Learning, Data Engineering, Statistical Analysis, Databases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Developer,Mobile Application Development, Android App Develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Cybersecurity, Operating Systems and Networking, Cryptograph, TCP/DatagramProtocol, IP Address, Internet Safety, Network Topologies, Network Security, Communication, Critical Thinking, Interpersonal Skills, Adaptability, Highly Interactative, Artificial Intelligence (AI) and Machine Learning, Problem Solving and Analysis, Cybersecurity,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Analyst,Network Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Research on Artificial Intelligence and Machine learning, Artificial Intelligence (AI), Deep Learning, Machine Learning, Image Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Robotics Knowledge, Internet of Things, Artificial Intelligence (AI) or Machine Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Quran Recitation, Improving Quran Recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI) and Machine Learning, Research on Artificial Intelligence and Machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI) and Machine Learning, Problem Solving and Analysis, Robotics Knowledge, Project Management, Research on Artificial Intelligence and Machine learning, Working with robots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI Engineer,Artificial Intelligence (AI), Deep Learning, Machine Learning, Data Engineering, Big Data Technologies, Statistical Analysis, Data Analysis and Visualization, Research on Artificial Intelligence and Machine learning for Natural Language Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Engineer,Game Development, System Design, Software Quality Testing, Project Management, Interpersonal Skills, Adaption to new think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database Administrator,Database Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Developer,Web Development, Game Development, problem solving, database development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Scientist,Data Analysis and Visualization, Cybersecurity, Cryptograph, Regulation regarding cyber space, Network Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
